id,issues,query
q0001,bad_rationales_count,How do proteins contribute to cellular function?
q0002,bad_rationales_count,What are the roles of RNA in genetic expression?
q0003,bad_rationales_count,What are the functions of DNA repair mechanisms?
q0004,bad_rationales_count,How does gene expression regulation occur?
q0005,bad_rationales_count,What are the consequences of genetic mutations?
q0028,name_like,What laboratory tests are essential in the diagnosis of heavy metal poisoning?
q0081,name_like,What historical events or figures have significantly impacted the development of medical ethics in the field of Medical Humanities?
q0082,name_like,What are some key ethical considerations when discussing end-of-life care decisions with patients suffering from terminal illnesses in Medical Humanities?
q0083,name_like,"How has the history of medical ethics evolved in response to advancements in technology, such as genetic engineering and artificial intelligence, within Medical Humanities?"
q0146,name_like,"What are the diagnostic criteria and treatment options for a patient with heart failure, peripheral edema, and shortness of breath?"
q0334,name_like,What are the key factors to consider when managing a patient with systemic lupus erythematosus (SLE) and nephritis?
q0395,name_like,What are the key steps in perioperative pain management for a patient undergoing major surgery?
q0398,name_like,What are the key indicators and interventions for a patient with speech impairment due to brain injury?
q0417,name_like,What evidence should be presented to a Clinical Ethics Committee when considering a patient's refusal of life-saving treatment due to religious beliefs?
q0418,name_like,What factors should a Clinical Ethics Committee consider when evaluating a request for organ donation from a terminally ill patient?
q0419,name_like,What ethical considerations should be taken into account when a Clinical Ethics Committee is deciding on the use of experimental treatments for terminal patients?
q0511,name_like,What are some common clinical signs and risk factors for lymphoma in dogs?
q0519,name_like,"What could be the possible causes of lethargy, anorexia, and vomiting in a 5-year-old Labrador Retriever?"
q0521,name_like,What are the treatment options for a 12-year-old Yorkshire Terrier with chronic kidney disease (CKD) and elevated blood pressure?
q0540,name_like,What could be the possible causes of recurrent corneal ulcers in a 5-year-old Miniature Schnauzer?
q0541,name_like,What diagnostic tests are essential for determining the cause of a 7-year-old Labrador Retriever's progressive blindness?
q0589,name_like,What are common diagnostic tests for identifying egg drop syndrome in broiler chickens?
q0620,name_like,"What are the risk factors for canine cutaneous lymphoma, and how can it be differentiated from other skin conditions?"
q0666,name_like,What could be the potential causes and symptoms of a sudden limp in a 7-year-old Labrador Retriever?
q0668,name_like,What are the potential complications and treatment options for a ruptured cruciate ligament in a 5-year-old German Shepherd?
q0710,name_like,What management strategies would a herd health consultant suggest for a flock of chickens with high mortality rates due to respiratory disease?
q0779,name_like,What are the key genetic disorders associated with developmental abnormalities in human embryology?
q0830,rationale_1_too_short,What are the recommended immunization schedules for adults aged 19-64 years to prevent vaccine-preventable diseases?
q0843,name_like,What historical events or figures have significantly impacted the development of medical ethics in the field of Medical Humanities?
q0844,name_like,What are some key ethical considerations when discussing end-of-life care decisions with patients suffering from terminal illnesses in Medical Humanities?
q0845,name_like,How has the history of medical ethics evolved in response to advancements in technology and biomedical research within Medical Humanities?
q0930,name_like,What are the common symptoms and laboratory findings in a patient with suspected Rheumatoid Arthritis?
q0931,name_like,What are the potential complications and management strategies for a severe flare-up of Rheumatoid Arthritis?
q0932,name_like,"What are the key differences between Rheumatoid Arthritis and Osteoarthritis in terms of symptoms, progression, and treatment?"
q0946,name_like,What are the key considerations when managing pain in hospice patients with advanced cancer?
q1088,name_like,What are the treatment options for a patient diagnosed with myelodysplastic syndrome (MDS) and what factors influence prognosis?
q1096,name_like,What are the key factors to consider when managing a patient with systemic lupus erythematosus (SLE) and nephritis?
q1179,name_like,What evidence should be presented to a Clinical Ethics Committee when considering a patient's refusal of life-saving treatment due to religious beliefs?
q1180,name_like,What factors should a Clinical Ethics Committee consider when evaluating a request for organ donation from a terminally ill patient?
q1181,name_like,What ethical considerations should be taken into account when a Clinical Ethics Committee is deciding on the use of experimental treatments for terminal patients?
q1222,name_like,What are the diagnostic imaging techniques and findings for space-induced osteoporosis in astronauts?
q1273,name_like,What are some common clinical signs and risk factors for lymphoma in dogs?
q1281,name_like,"What could be the possible causes of lethargy, anorexia, and vomiting in a 5-year-old Labrador Retriever?"
q1283,name_like,What are the treatment options for a 12-year-old Yorkshire Terrier with chronic kidney disease (CKD) and elevated blood pressure?
q1302,name_like,What could be the possible causes of recurrent corneal ulcers in a 5-year-old Miniature Schnauzer?
q1303,name_like,What diagnostic tests are essential for determining the cause of a 7-year-old Labrador Retriever's progressive blindness?
q1351,name_like,What are common diagnostic tests for identifying egg drop syndrome in broiler chickens?
q1382,name_like,"What are the risk factors for canine cutaneous lymphoma, and how can it be differentiated from other skin conditions?"
q1428,name_like,What could be the potential causes and symptoms of a sudden limp in a 7-year-old Labrador Retriever?
q1430,name_like,What are the potential complications and treatment options for a ruptured cruciate ligament in a 5-year-old German Shepherd?
q1472,name_like,What management strategies would a herd health consultant suggest for a flock of chickens with high mortality rates due to respiratory disease?
q1540,name_like,What are the potential genetic abnormalities associated with failure of gastrulation in human embryos?
q1605,name_like,What historical events or figures have significantly impacted the development of medical ethics in the field of Medical Humanities?
q1606,name_like,What are some key ethical considerations when discussing end-of-life care decisions with patients suffering from terminal illnesses in the context of Medical Humanities?
q1607,name_like,"How has the history of medical ethics evolved in response to technological advancements, such as genetic engineering and artificial intelligence, within the field of Medical Humanities?"
q1670,name_like,"What are the diagnostic criteria and treatment options for a patient with heart failure, peripheral edema, and shortness of breath?"
q1831,name_like,What are the potential treatment options for a 78-year-old female with New York Heart Association (NYHA) Class III heart failure and an ejection fraction of 20%?
q1938,name_like,What evidence should be presented to a Clinical Ethics Committee when considering a patient's refusal of life-saving treatment due to religious beliefs?
q1939,name_like,What factors should be considered when a Clinical Ethics Committee is evaluating a potential conflict of interest for a healthcare provider involved in a patient's care?
q1940,name_like,What ethical considerations should be taken into account when a Clinical Ethics Committee is discussing the use of experimental treatments in end-of-life care?
q1952,name_like,What are the common symptoms and diagnostic tests for a patient suspected of having West Nile virus infection?
q2043,name_like,What could be the potential causes of chronic limping in a 6-year-old Labrador Retriever?
q2061,name_like,What could be the possible causes of recurrent corneal ulcers in a 5-year-old Miniature Schnauzer?
q2062,name_like,What diagnostic tests are essential for determining the cause of a 7-year-old Labrador Retriever's progressive blindness?
q2231,name_like,What vaccination schedule would a herd health consultant recommend for a flock of laying hens to prevent common poultry diseases?
q2269,name_like,"What are some common zoonotic diseases transmitted from animals to humans in the context of One Health, and what are their symptoms?"
q2346,name_like,What are common statistical tests used in medical research for comparing two independent groups?
